-2.331114187836647131e-05,2.938761901855468581e-02,2.625008201599120933e-02
-2.457387186586856728e-05,2.926503372192382907e-02,2.623738670349121116e-02
-1.115635156631469751e-03,2.870109367370605319e-02,3.232151794433593683e-02
-3.636034727096557669e-03,3.003906440734863126e-02,7.066671752929687411e-02
-4.767745971679687549e-03,3.201896286010742082e-02,1.291825714111328183e-01
-5.484797000885009537e-03,3.315441894531249989e-02,1.981237487792968655e-01
-6.416780948638916085e-03,3.162791252136230163e-02,2.697037048339843701e-01
-7.495858192443847524e-03,2.660676002502441323e-02,3.435738525390624742e-01
-8.527253150939941365e-03,1.887414550781249881e-02,4.187871093750000218e-01
-8.684934616088867479e-03,9.177964210510253587e-03,4.898906250000000240e-01
-7.359095573425292885e-03,-1.242439866065979046e-03,5.560234375000000506e-01
-4.091048240661620747e-03,-1.138356590270996060e-02,6.091174926757813024e-01
1.072241663932800267e-03,-2.125115013122558585e-02,6.530460815429687260e-01
7.519474506378173717e-03,-3.017103576660156231e-02,6.866860351562500409e-01
1.500458717346191476e-02,-3.761248779296875316e-02,7.124652709960938024e-01
2.291703414916992226e-02,-4.462294769287109691e-02,7.328542480468750453e-01
3.079754257202148293e-02,-5.097720718383789290e-02,7.483480224609374565e-01
3.908619689941406072e-02,-5.794332885742187189e-02,7.620083618164062988e-01
4.570745086669921603e-02,-6.336393737792968273e-02,7.722333984375000515e-01
5.280735015869140320e-02,-7.073358154296874312e-02,7.823857421875000107e-01
5.847175216674804776e-02,-7.846450042724609220e-02,7.899457397460937225e-01
6.396944427490233731e-02,-8.670085144042968817e-02,7.977426147460937589e-01
6.905837249755859830e-02,-9.442491912841796675e-02,8.042389526367187402e-01
7.343083190917969183e-02,-1.015293273925781253e-01,8.090572509765624476e-01
7.720421600341796642e-02,-1.090150299072265572e-01,8.122398071289061994e-01
8.040483856201172119e-02,-1.162245101928710972e-01,8.149114379882812509e-01
8.336566162109375344e-02,-1.229015197753906274e-01,8.187158813476562713e-01
8.682542419433593450e-02,-1.287327728271484284e-01,8.244474487304687127e-01
9.095188903808593128e-02,-1.339775238037109462e-01,8.300924682617187855e-01
9.510427093505859075e-02,-1.379147644042968690e-01,8.339198608398437074e-01
9.948184204101562234e-02,-1.413014373779296895e-01,8.371687011718750293e-01
1.031261367797851602e-01,-1.437507324218749993e-01,8.395264282226562180e-01
1.059053726196289014e-01,-1.448298339843749893e-01,8.418574218750000115e-01
1.076228103637695277e-01,-1.445329284667968839e-01,8.441110839843749547e-01
1.078782882690429712e-01,-1.436836547851562396e-01,8.461848754882812518e-01
1.068282852172851571e-01,-1.419555358886718799e-01,8.468280029296875178e-01
1.048407974243164009e-01,-1.395682830810546782e-01,8.459001464843749485e-01
1.019405059814453146e-01,-1.362705688476562593e-01,8.455146484375000160e-01
9.868086242675781772e-02,-1.325402221679687631e-01,8.457225341796874574e-01
9.501049041748046986e-02,-1.276898345947265756e-01,8.458093261718749867e-01
9.137789154052734786e-02,-1.227382507324218802e-01,8.453692016601562775e-01
8.777864837646484619e-02,-1.171633529663085871e-01,8.448853759765625471e-01
8.445319366455078525e-02,-1.117206344604492196e-01,8.436681518554687287e-01
8.205371093749999623e-02,-1.074822311401367192e-01,8.422873535156250036e-01
8.015739440917968306e-02,-1.030203933715820308e-01,8.410480346679687358e-01
7.890795135498046564e-02,-9.968887329101562556e-02,8.397182006835937074e-01
7.759664916992187189e-02,-9.614730834960937000e-02,8.378731689453124964e-01
7.601631927490234975e-02,-9.347480010986328192e-02,8.360814819335937731e-01
7.393105316162108809e-02,-9.046057128906249967e-02,8.344894409179687278e-01
7.124378204345703514e-02,-8.739299774169921597e-02,8.333302612304687162e-01
6.779674530029296264e-02,-8.334029388427734164e-02,8.322279052734374849e-01
6.401901245117187778e-02,-7.876682281494140625e-02,8.314048461914061994e-01
6.025514221191406034e-02,-7.406645202636719105e-02,8.302686157226562003e-01
5.627254104614257818e-02,-6.913253021240234331e-02,8.287044677734375364e-01
5.263895034790039285e-02,-6.400870513916015470e-02,8.271315307617187473e-01
4.938446807861328336e-02,-5.948944091796874722e-02,8.245431518554687811e-01
4.642980575561523465e-02,-5.553448486328124711e-02,8.217125244140625062e-01
4.374329757690429560e-02,-5.206840515136718778e-02,8.187118530273437278e-01
4.118731307983398288e-02,-4.939107894897461215e-02,8.160740356445312926e-01
3.920542144775390758e-02,-4.748884201049805021e-02,8.141843872070312349e-01
